symbol,companyName,volume,week1AvgVolume,week1volChange,week2AvgVolume,week2volChange,ltp,pChange,turnover,Reason,relavant_columns,series,open_price,high_price,low_price,prev_price,net_price,trade_quantity,market_type,ca_ex_dt,ca_purpose,perChange,date,name,clientName,buySell,qty,watp,remarks
AXISBNKETF,AXIS MUTUAL FUND - Axis NIFTY Bank ETF,53228.0,10982.0,4.846663752913753,5670.0,9.386661023524848,505.43,2.13,267.77942,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
BANKIETF,ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX,7967515.0,1688654.0,4.718263218129562,1022868.0,7.7893834838007034,50.25,2.24,3982.96074,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
GROWWN200,Groww Mutual Fund - Groww Nifty 200 ETF,10564047.0,2246610.0,4.702214998699374,1332110.0,7.930307738711786,10.06,0.9,1062.74312,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
NBIFIN,N. B. I. Industrial Finance Company Limited,5118.0,1089.0,4.696274545788218,585.0,8.744233726294208,2362.0,0.04,120.75869,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
ARVEE,Arvee Laboratories (India) Limited,3198.0,716.0,4.463986599664992,523.0,6.104218362282879,143.0,0.0,4.41963,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
MASTEK,Mastek Limited,4619068.0,1044566.0,4.421995576346319,608818.0,7.586935158200627,2381.9,-2.38,111141.70468,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
MOGSEC,Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G Sec ETF - Growth,88347.0,20229.0,4.36734391220525,10738.0,8.226820251608638,59.83,0.77,52.4251,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
HDFCNIFBAN,HDFC NIFTY Bank ETF,705582.0,167868.0,4.203195367788977,273321.0,2.581512154929804,50.23,1.99,353.14379,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
UTIBANKETF,UTI Nifty Bank ETF,7554482.0,1802541.0,4.191017658847409,1208417.0,6.251550685346858,50.69,2.42,3808.21437,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
TVSELECT,TVS Electronics Limited,853280.0,204176.0,4.1791272849092405,141719.0,6.020907496851175,312.1,-1.86,2693.71963,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
LAXMICOT,Laxmi Cotspin Limited,268597.0,65283.0,4.11433569432871,80226.0,3.347966829081019,25.84,1.14,69.72778,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
SETFNIFBK,SBI-ETF Nifty Bank,1066313.0,265933.0,4.009705452125159,145431.0,7.332058507229515,502.32,2.11,5330.07216,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
HPAL,HP Adhesives Limited,3134367.0,792783.0,3.9536253930772984,480138.0,6.528051715110358,49.96,-0.79,1644.9158,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
RAYMOND,Raymond Limited,4255018.0,1083217.0,3.9281292933440692,670800.0,6.34319349147869,1403.0,-1.77,59230.27606,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
FINCABLES,Finolex Cables Limited,2707610.0,693104.0,3.906494371413962,450415.0,6.0113592868453045,860.4,-1.79,23720.0174,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
NIBL,NRB Industrial Bearings Limited,113181.0,29289.0,3.8642571323218116,21469.0,5.27166192354807,23.3,-0.81,26.48435,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
PSUBANK,Kotak Nifty PSU Bank ETF,88550.0,23539.0,3.761842049364884,15514.0,5.707527103502508,590.01,2.64,516.68039,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
KILITCH,Kilitch Drugs (India) Limited,46296.0,12416.0,3.7286770509495657,9003.0,5.142228787861959,339.0,0.83,153.11476,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
MOM30IETF,ICICI Prudential Mutual Fund -  ICICI Pru Nifty 200 Momentum 30 ETF,16634976.0,4509544.0,3.688837718403457,2977712.0,5.586495190066039,28.01,2.83,4622.85983,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
MINDTECK,Mindteck (India) Limited,810963.0,220223.0,3.6824627763675912,135955.0,5.964936927659887,177.0,-0.85,1511.55393,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
MUKTAARTS,Mukta Arts Limited,112871.0,30792.0,3.665547342850833,45117.0,2.5017399206507527,67.05,-0.36,76.19921,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
KHANDSE,Khandwala Securities Limited,198353.0,54118.0,3.6651674846263007,38879.0,5.101789907688192,23.4,0.91,45.403,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
IRCON,Ircon International Limited,36097996.0,9921194.0,3.6384729499292123,7623624.0,4.73501788650647,145.6,-0.22,53006.29732,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
RATNAMANI,Ratnamani Metals & Tubes Limited,495942.0,136367.0,3.6368182918154686,99771.0,4.970773246094079,2625.0,-1.78,13461.25451,Volume Gainers,"symbol, companyName, volume, week1AvgVolume, week1volChange, week2AvgVolume, week2volChange, ltp, pChange, turnover",,,,,,,,,,,,,,,,,,
